,hypernode,article
0,1,74
1,1,7
2,1,1
3,1,70
4,1,73
5,1,75
6,1,78
7,1,77
8,1,72
9,1,8
10,1,4
11,1,80
12,2,82
13,2,24
14,2,94
15,2,95
16,2,83
17,2,87
18,2,16
19,2,81
20,2,96
21,3,50
22,3,29
23,3,54
24,3,86
25,3,17
26,3,58
27,3,52
28,3,57
29,3,30
30,3,89
31,3,25
32,3,28
33,3,79
34,3,59
35,3,51
36,3,47
37,3,27
38,3,62
39,3,90
40,3,26
41,3,48
42,3,88
43,3,53
44,3,49
45,3,55
46,4,20
47,4,19
48,4,23
49,4,18
50,5,40
51,5,38
52,5,42
53,5,43
54,6,63
55,7,39
56,8,41
57,9,85
58,10,56
59,11,10
60,12,36
61,13,76
62,14,91
63,15,13
64,16,6
65,17,0
66,18,84
67,19,11
68,20,97
69,21,14
70,22,65
71,23,5
72,24,9
73,25,66
74,26,60
75,27,22
76,28,71
77,29,12
78,30,31
79,31,32
80,32,69
81,33,3
82,34,35
83,35,67
84,36,2
85,37,68
86,38,15
87,39,37
88,40,61
89,41,46
90,42,98
91,43,34
92,44,64
93,45,45
94,46,92
95,47,44
96,48,93
97,49,33
98,50,21
